Province;Crime Category;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
Mpumalanga;Truck hijacking;156;194;180;121;116;144;111;210;229;207
Mpumalanga;Arson;292;287;260;254;235;245;206;288;270;243
""
Mpumalanga;Contact-related crime;6146;6123;5843;5783;6031;6200;5703;6272;6031;5863
""
Mpumalanga;Burglary at residential premises;18219;18180;18535;17597;16533;16040;12555;11604;12285;11049
Mpumalanga;Theft of motor vehicle and motorcycle;2303;2223;2211;2209;2290;2304;1655;1676;1484;1562
Mpumalanga;Theft out of or from motor vehicle;8011;7388;6938;6837;6896;5973;4816;4317;4490;4360
Mpumalanga;Stock-theft;2216;2364;2903;3181;3255;2987;2706;2780;2722;2401
Mpumalanga;Property-related crime;36296;36173;36752;35809;35008;33035;27237;25176;26260;24243
Mpumalanga;All theft not mentioned elsewhere;18934;18465;18498;17071;16858;15884;13447;13359;13682;12901
Mpumalanga;Commercial crime;4499;4735;5152;5180;5188;5104;5126;5924;5990;7021
Mpumalanga;Shoplifting;3494;3397;3454;3290;3189;3379;2698;2631;3048;3124
Mpumalanga;Other serious crime;26927;26597;27104;25541;25235;24367;21271;21914;22720;23046
""
Mpumalanga;Illegal possession of firearms and ammunition;1071;980;1138;1085;906;1039;495;740;814;786
Mpumalanga;Drug-related crime;8855;9822;11531;13046;9959;6670;4517;4663;5001;4723
Mpumalanga;Driving under the influence of alcohol or drugs;2974;3651;4207;4302;4316;5541;2146;2254;1447;2331
Mpumalanga;Sexual offences detected as a result of police action;46;93;41;24;24;17;9;10;7;2
Mpumalanga;Crime detected as a result of police action;12946;14546;16917;18457;15205;13267;7167;7667;7269;7842
Mpumalanga;Kidnapping;324;303;321;381;466;492;507;893;979;1037
North West;Murder;853;907;901;950;961;864;734;1029;1108;1131
North West;Sexual offences;4585;4164;4326;4182;4021;3824;3262;3737;3899;4032
North West;Attempted murder;984;899;898;864;857;765;799;872;1039;1012
North West;Assault with the intent to inflict grievous bodily harm;13334;13614;12731;13131;13250;12712;11003;13029;14377;16120
North West;Common assault;6930;6942;7021;7828;8611;8733;8098;9391;10622;12001
North West;Common robbery;2419;2417;2589;2824;2764;2581;2007;2232;2539;2735
North West;Robbery with aggravating circumstances;5977;6281;7017;6825;7023;6807;5733;6492;7108;8355
North West;Contact crime (Crimes against the person);35082;35224;35483;36604;37487;36286;31636;36782;40692;45386
North West;Rape;3771;3433;3615;3479;3374;3136;2661;3098;3218;3343
North West;Sexual assault;310;305;319;347;343;345;356;337;387;412
North West;Attempted sexual offences;315;284;246;261;214;262;192;217;245;232
North West;Contact sexual offences;189;142;146;95;90;81;53;85;49;45
North West;Carjacking;278;370;390;425;478;493;366;519;612;700
North West;Robbery at residential premises;1110;1065;1290;1145;1291;1076;1034;1080;1093;1195
North West;Robbery at non-residential premises;1419;1394;1493;1263;1329;1307;1172;1389;1394;1605
North West;TRIO Crime;2807;2829;3173;2833;3098;2876;2572;2988;3099;3500
""
North West;Bank robbery;1;3;0;1;2;0;0;0;0;0
North West;Truck hijacking;45;42;48;41;54;36;37;68;67;75
North West;Arson;329;314;290;323;347;246;228;268;250;245
North West;Malicious damage to property;5902;5762;5774;5821;6285;5964;5760;6471;6903;6886
North West;Contact-related crime;6231;6076;6064;6144;6632;6210;5988;6739;7153;7131
North West;Burglary at non-residential premises;5080;5313;6042;5563;5732;5204;4903;4649;4996;4896
North West;Burglary at residential premises;15687;15568;15908;15267;15436;14156;11469;11393;11850;11047
North West;Theft of motor vehicle and motorcycle;1984;2070;2068;2112;1999;1929;1452;1652;1723;1427
North West;Theft out of or from motor vehicle;6349;5913;6293;5866;6315;5583;4730;4554;4396;4098
North West;Stock-theft;2574;2605;3192;3447;3557;3005;2693;2772;2955;2870
North West;Property-related crime;31674;31469;33503;32255;33039;29877;25247;25020;25920;24338
North West;All theft not mentioned elsewhere;17943;16751;15677;14268;14610;14579;12619;14054;16088;16201
North West;Commercial crime;4016;4212;3914;3744;5155;3768;3792;5885;7110;6473
North West;Shoplifting;2270;2188;2176;2008;2075;2011;1834;1708;1918;1908
North West;Other serious crime;24229;23151;21767;20020;21840;20358;18245;21647;25116;24582
North West;17 Community reported serious crime;97216;95920;96817;95023;98998;92731;81116;90188;98881;101437
North West;Illegal possession of firearms and ammunition;531;678;735;674;692;704;617;569;742;848
